Date,Time,Open,High,Low,Close,Volume
2025-07-01,09:15:00,5645.5,5646.5,5636.5,5639.0,0
2025-07-01,09:16:00,5635.5,5647.5,5635.5,5640.0,1529
2025-07-01,09:17:00,5642.5,5644.5,5642.5,5643.0,1177
2025-07-01,09:18:00,5644.5,5644.5,5642.5,5643.0,906
2025-07-01,09:19:00,5644.5,5644.5,5634.0,5634.0,1082
2025-07-01,09:20:00,5640.0,5643.5,5639.0,5642.0,2181
2025-07-01,09:21:00,5644.0,5648.0,5642.0,5648.0,624
2025-07-01,09:22:00,5648.0,5648.0,5644.0,5644.0,217
2025-07-01,09:23:00,5644.0,5648.5,5644.0,5644.5,890
2025-07-01,09:24:00,5644.5,5646.5,5640.0,5640.0,431
2025-07-01,09:25:00,5643.0,5654.0,5643.0,5654.0,716
2025-07-01,09:26:00,5654.5,5662.5,5654.5,5659.0,868
2025-07-01,09:27:00,5660.5,5666.0,5660.0,5663.0,1185
2025-07-01,09:28:00,5663.5,5667.5,5656.5,5660.0,1565
2025-07-01,09:29:00,5661.0,5662.5,5659.5,5659.5,1845
2025-07-01,09:30:00,5661.5,5663.0,5657.0,5659.5,1105
2025-07-01,09:31:00,5659.0,5659.5,5653.0,5654.5,374
2025-07-01,09:32:00,5655.0,5655.0,5651.0,5654.0,429
2025-07-01,09:33:00,5656.0,5656.5,5654.5,5655.0,889
2025-07-01,09:34:00,5657.5,5660.0,5655.0,5660.0,438
2025-07-01,09:35:00,5657.0,5659.5,5657.0,5659.5,97
2025-07-01,09:36:00,5660.0,5660.0,5655.0,5655.0,577
2025-07-01,09:37:00,5658.0,5658.0,5654.5,5654.5,91
2025-07-01,09:38:00,5655.0,5655.0,5650.0,5652.5,748
2025-07-01,09:39:00,5650.0,5650.5,5648.0,5650.0,296
2025-07-01,09:40:00,5647.0,5648.5,5646.5,5648.5,221
2025-07-01,09:41:00,5648.0,5650.5,5648.0,5650.5,851
2025-07-01,09:42:00,5650.5,5652.0,5650.0,5652.0,370
2025-07-01,09:43:00,5652.5,5652.5,5649.0,5651.5,283
2025-07-01,09:44:00,5649.0,5649.5,5645.5,5645.5,178
2025-07-01,09:45:00,5645.5,5647.0,5645.0,5646.5,426
2025-07-01,09:46:00,5645.0,5646.5,5645.0,5645.0,795
2025-07-01,09:47:00,5645.0,5647.0,5643.5,5647.0,544
2025-07-01,09:48:00,5646.5,5650.0,5646.5,5647.0,275
2025-07-01,09:49:00,5647.5,5650.0,5647.5,5650.0,127
2025-07-01,09:50:00,5649.5,5650.5,5649.5,5649.5,238
2025-07-01,09:51:00,5648.0,5649.5,5645.0,5645.0,285
2025-07-01,09:52:00,5645.0,5646.5,5644.0,5646.5,243
2025-07-01,09:53:00,5647.5,5647.5,5645.5,5647.0,164
2025-07-01,09:54:00,5645.5,5645.5,5645.0,5645.5,419
2025-07-01,09:55:00,5645.0,5648.0,5645.0,5647.0,576
2025-07-01,09:56:00,5648.0,5648.0,5646.0,5648.0,191
2025-07-01,09:57:00,5648.0,5648.0,5646.0,5647.0,57
2025-07-01,09:58:00,5648.5,5652.5,5648.5,5652.5,508
2025-07-01,09:59:00,5651.5,5656.5,5651.5,5655.0,294
2025-07-01,10:00:00,5657.0,5661.0,5655.0,5660.5,893
2025-07-01,10:01:00,5657.5,5659.5,5655.5,5659.5,1384
2025-07-01,10:02:00,5669.0,5670.0,5663.0,5663.0,2129
2025-07-01,10:03:00,5663.0,5664.0,5654.5,5657.5,1009
