Date,Time,Open,High,Low,Close,Volume
2025-07-02,09:15:00,12379.0,12414.0,12379.0,12401.0,0
2025-07-02,09:16:00,12393.0,12423.0,12393.0,12416.0,4581
2025-07-02,09:17:00,12412.0,12417.0,12396.0,12396.0,2216
2025-07-02,09:18:00,12400.0,12436.0,12400.0,12421.0,5542
2025-07-02,09:19:00,12440.0,12443.0,12413.0,12416.0,4388
2025-07-02,09:20:00,12411.0,12429.0,12405.0,12429.0,1384
2025-07-02,09:21:00,12424.0,12443.0,12424.0,12434.0,2923
2025-07-02,09:22:00,12445.0,12464.0,12434.0,12463.0,2652
2025-07-02,09:23:00,12463.0,12479.0,12457.0,12467.0,4201
2025-07-02,09:24:00,12471.0,12480.0,12465.0,12466.0,2461
2025-07-02,09:25:00,12461.0,12500.0,12461.0,12500.0,5397
2025-07-02,09:26:00,12495.0,12511.0,12492.0,12506.0,3045
2025-07-02,09:27:00,12507.0,12518.0,12494.0,12500.0,6060
2025-07-02,09:28:00,12507.0,12514.0,12502.0,12502.0,1330
2025-07-02,09:29:00,12502.0,12510.0,12495.0,12495.0,1078
2025-07-02,09:30:00,12500.0,12504.0,12498.0,12500.0,833
2025-07-02,09:31:00,12504.0,12504.0,12495.0,12495.0,1092
2025-07-02,09:32:00,12495.0,12504.0,12495.0,12502.0,1439
2025-07-02,09:33:00,12500.0,12505.0,12499.0,12499.0,609
2025-07-02,09:34:00,12499.0,12499.0,12488.0,12488.0,2176
2025-07-02,09:35:00,12494.0,12498.0,12477.0,12480.0,1850
2025-07-02,09:36:00,12481.0,12487.0,12467.0,12469.0,1260
2025-07-02,09:37:00,12468.0,12477.0,12465.0,12470.0,1017
2025-07-02,09:38:00,12471.0,12473.0,12464.0,12471.0,1372
2025-07-02,09:39:00,12470.0,12481.0,12470.0,12475.0,765
2025-07-02,09:40:00,12470.0,12481.0,12470.0,12474.0,436
2025-07-02,09:41:00,12469.0,12480.0,12455.0,12455.0,1072
2025-07-02,09:42:00,12450.0,12451.0,12443.0,12443.0,1436
2025-07-02,09:43:00,12446.0,12465.0,12442.0,12450.0,2093
2025-07-02,09:44:00,12450.0,12463.0,12450.0,12457.0,821
2025-07-02,09:45:00,12456.0,12460.0,12453.0,12455.0,537
2025-07-02,09:46:00,12456.0,12464.0,12451.0,12454.0,1868
2025-07-02,09:47:00,12455.0,12458.0,12450.0,12458.0,764
2025-07-02,09:48:00,12452.0,12455.0,12445.0,12450.0,705
