Date,Time,Open,High,Low,Close,Volume
2025-07-02,09:15:00,8362.0,8386.5,8362.0,8385.5,0
2025-07-02,09:16:00,8380.0,8385.0,8365.0,8373.0,3484
2025-07-02,09:17:00,8373.0,8381.5,8371.0,8372.5,1347
2025-07-02,09:18:00,8369.5,8389.0,8367.0,8389.0,1267
2025-07-02,09:19:00,8391.5,8398.0,8391.5,8396.5,1230
2025-07-02,09:20:00,8396.5,8404.5,8394.5,8404.5,944
2025-07-02,09:21:00,8405.0,8408.0,8400.5,8400.5,840
2025-07-02,09:22:00,8399.0,8400.0,8397.5,8399.0,595
2025-07-02,09:23:00,8398.5,8400.5,8398.5,8400.0,175
2025-07-02,09:24:00,8396.0,8408.0,8396.0,8402.5,547
2025-07-02,09:25:00,8402.5,8405.5,8394.0,8394.0,290
2025-07-02,09:26:00,8395.5,8395.5,8390.5,8392.0,334
2025-07-02,09:27:00,8388.0,8390.0,8388.0,8390.0,196
2025-07-02,09:28:00,8393.0,8397.0,8392.5,8396.5,1586
2025-07-02,09:29:00,8394.0,8399.0,8394.0,8398.0,466
2025-07-02,09:30:00,8398.0,8401.0,8395.5,8395.5,1430
2025-07-02,09:31:00,8398.5,8400.5,8393.5,8398.5,821
2025-07-02,09:32:00,8395.0,8395.5,8395.0,8395.5,219
2025-07-02,09:33:00,8395.5,8398.5,8395.0,8396.0,412
2025-07-02,09:34:00,8393.5,8394.5,8390.5,8391.5,240
2025-07-02,09:35:00,8390.5,8394.5,8390.5,8392.0,171
2025-07-02,09:36:00,8392.0,8394.0,8392.0,8394.0,201
2025-07-02,09:37:00,8388.5,8388.5,8383.5,8387.5,422
2025-07-02,09:38:00,8385.0,8392.0,8385.0,8392.0,194
2025-07-02,09:39:00,8389.5,8393.0,8389.5,8393.0,89
2025-07-02,09:40:00,8393.0,8393.5,8393.0,8393.0,91
2025-07-02,09:41:00,8393.5,8395.0,8384.0,8385.0,515
2025-07-02,09:42:00,8382.5,8382.5,8378.5,8378.5,450
2025-07-02,09:43:00,8383.0,8385.0,8378.5,8385.0,1424
2025-07-02,09:44:00,8385.0,8385.0,8382.5,8382.5,198
2025-07-02,09:45:00,8382.0,8382.5,8382.0,8382.0,85
2025-07-02,09:46:00,8382.0,8390.5,8382.0,8389.5,464
2025-07-02,09:47:00,8386.5,8394.0,8382.5,8388.5,892
2025-07-02,09:48:00,8385.0,8385.0,8382.0,8382.0,150
2025-07-02,09:49:00,8383.0,8388.5,8382.0,8382.0,608
2025-07-02,09:50:00,8382.0,8385.5,8382.0,8385.5,85
2025-07-02,09:51:00,8385.5,8388.5,8384.0,8388.5,109
2025-07-02,09:52:00,8390.5,8390.5,8387.5,8389.5,98
2025-07-02,09:53:00,8386.5,8387.0,8385.0,8387.0,79
2025-07-02,09:54:00,8387.0,8387.0,8383.0,8384.5,193
2025-07-02,09:55:00,8384.5,8388.0,8382.5,8388.0,287
2025-07-02,09:56:00,8388.0,8388.0,8377.0,8379.0,920
2025-07-02,09:57:00,8380.0,8380.0,8374.0,8374.0,576
2025-07-02,09:58:00,8374.0,8375.5,8374.0,8375.0,159
2025-07-02,09:59:00,8373.0,8373.0,8370.0,8370.0,380
2025-07-02,10:00:00,8372.0,8372.0,8368.5,8370.5,91
2025-07-02,10:01:00,8370.5,8370.5,8368.5,8368.5,182
2025-07-02,10:02:00,8371.5,8379.5,8371.5,8379.5,479
2025-07-02,10:03:00,8377.0,8379.5,8377.0,8379.0,206
2025-07-02,10:04:00,8377.0,8377.0,8368.0,8368.0,273
2025-07-02,10:05:00,8365.0,8365.0,8364.0,8364.0,207
2025-07-02,10:06:00,8360.0,8360.5,8355.0,8355.0,1049
2025-07-02,10:07:00,8356.0,8356.0,8352.0,8354.0,482
2025-07-02,10:08:00,8354.0,8359.0,8354.0,8354.0,550
2025-07-02,10:09:00,8354.0,8359.0,8354.0,8359.0,167
2025-07-02,10:10:00,8359.0,8363.5,8359.0,8361.0,204
2025-07-02,10:11:00,8362.0,8364.0,8362.0,8364.0,296
2025-07-02,10:12:00,8364.0,8365.0,8363.5,8364.0,85
2025-07-02,10:13:00,8362.0,8363.5,8360.5,8363.5,100
2025-07-02,10:14:00,8362.0,8363.5,8362.0,8363.5,16
2025-07-02,10:15:00,8363.5,8363.5,8361.5,8361.5,228
2025-07-02,10:16:00,8361.5,8361.5,8360.0,8360.0,11
2025-07-02,10:17:00,8360.0,8364.0,8360.0,8364.0,210
2025-07-02,10:18:00,8364.5,8364.5,8358.0,8360.0,243
2025-07-02,10:19:00,8360.0,8360.5,8358.5,8360.5,144
2025-07-02,10:20:00,8360.0,8365.0,8360.0,8365.0,165
2025-07-02,10:21:00,8362.5,8367.0,8362.5,8365.0,84
2025-07-02,10:22:00,8361.5,8364.0,8361.5,8364.0,200
2025-07-02,10:23:00,8364.0,8366.5,8363.0,8366.0,166
2025-07-02,10:24:00,8367.0,8367.0,8363.5,8366.5,112
2025-07-02,10:25:00,8366.0,8366.5,8364.0,8364.0,12
2025-07-02,10:26:00,8366.0,8368.0,8366.0,8368.0,148
2025-07-02,10:27:00,8366.5,8370.5,8365.5,8370.5,218
2025-07-02,10:28:00,8373.5,8374.0,8372.0,8373.5,62
2025-07-02,10:29:00,8374.0,8375.5,8373.5,8375.5,370
2025-07-02,10:30:00,8375.0,8376.5,8375.0,8376.5,442
2025-07-02,10:31:00,8374.5,8376.0,8372.5,8372.5,140
2025-07-02,10:32:00,8373.5,8373.5,8373.0,8373.0,97
2025-07-02,10:33:00,8373.0,8373.5,8360.0,8368.5,1648
2025-07-02,10:34:00,8365.0,8368.0,8365.0,8368.0,30
2025-07-02,10:35:00,8368.5,8371.0,8367.5,8367.5,44
2025-07-02,10:36:00,8367.5,8370.0,8367.0,8370.0,98
2025-07-02,10:37:00,8367.0,8367.0,8367.0,8367.0,32
