Date,Time,Open,High,Low,Close,Volume
2025-07-02,09:15:00,7475.0,7515.0,7469.0,7470.0,0
2025-07-02,09:16:00,7474.5,7485.0,7468.5,7476.5,14881
2025-07-02,09:17:00,7474.5,7474.5,7465.5,7468.0,4506
2025-07-02,09:18:00,7466.5,7467.5,7461.0,7462.5,6510
2025-07-02,09:19:00,7455.0,7455.0,7428.5,7428.5,13993
2025-07-02,09:20:00,7426.0,7444.0,7423.0,7438.0,8249
2025-07-02,09:21:00,7439.5,7441.5,7428.5,7433.5,3105
2025-07-02,09:22:00,7428.0,7443.0,7428.0,7441.5,3049
2025-07-02,09:23:00,7442.0,7443.5,7442.0,7442.0,2698
2025-07-02,09:24:00,7442.5,7442.5,7438.5,7439.5,1666
2025-07-02,09:25:00,7436.5,7436.5,7421.5,7421.5,2913
2025-07-02,09:26:00,7424.5,7425.0,7417.5,7417.5,4493
2025-07-02,09:27:00,7421.0,7434.5,7421.0,7430.5,4132
2025-07-02,09:28:00,7429.5,7433.0,7420.0,7433.0,4285
2025-07-02,09:29:00,7434.0,7446.0,7434.0,7446.0,2921
2025-07-02,09:30:00,7445.0,7472.0,7445.0,7472.0,14484
2025-07-02,09:31:00,7473.5,7477.0,7471.0,7477.0,3875
2025-07-02,09:32:00,7477.0,7477.0,7470.0,7474.5,6548
2025-07-02,09:33:00,7477.0,7481.5,7475.0,7475.0,9546
2025-07-02,09:34:00,7479.0,7479.0,7473.0,7478.5,3676
2025-07-02,09:35:00,7478.5,7483.0,7478.5,7482.5,2209
2025-07-02,09:36:00,7482.5,7489.5,7482.5,7489.5,3410
2025-07-02,09:37:00,7490.0,7492.5,7489.5,7491.0,4020
2025-07-02,09:38:00,7490.0,7498.0,7490.0,7498.0,12883
2025-07-02,09:39:00,7498.0,7509.0,7498.0,7500.0,12557
2025-07-02,09:40:00,7500.0,7502.5,7499.5,7500.5,5181
2025-07-02,09:41:00,7500.0,7502.5,7492.5,7492.5,4276
2025-07-02,09:42:00,7484.0,7496.0,7484.0,7485.0,41346
2025-07-02,09:43:00,7487.0,7490.5,7475.5,7477.5,12135
2025-07-02,09:44:00,7477.5,7484.5,7466.5,7482.5,5622
2025-07-02,09:45:00,7481.5,7485.0,7480.0,7482.0,899
2025-07-02,09:46:00,7485.0,7491.5,7480.0,7491.5,2246
2025-07-02,09:47:00,7490.0,7490.0,7485.0,7485.0,601
2025-07-02,09:48:00,7485.5,7486.0,7485.0,7486.0,1305
2025-07-02,09:49:00,7486.0,7489.5,7486.0,7487.5,1016
2025-07-02,09:50:00,7487.0,7487.0,7485.0,7486.0,510
2025-07-02,09:51:00,7485.0,7489.0,7485.0,7485.5,993
2025-07-02,09:52:00,7485.5,7486.5,7485.0,7486.0,1063
2025-07-02,09:53:00,7485.0,7489.5,7485.0,7489.5,1536
2025-07-02,09:54:00,7488.5,7497.0,7488.5,7495.0,2469
2025-07-02,09:55:00,7495.0,7496.5,7495.0,7495.5,2099
2025-07-02,09:56:00,7496.0,7496.0,7495.0,7495.0,869
2025-07-02,09:57:00,7495.0,7495.5,7495.0,7495.5,622
2025-07-02,09:58:00,7495.0,7496.5,7482.0,7490.0,29423
2025-07-02,09:59:00,7493.0,7495.0,7487.0,7492.0,5627
