Date,Time,Open,High,Low,Close,Volume
2025-07-04,09:15:00,25438.650390625,25458.650390625,25412.19921875,25436.900390625,0
2025-07-04,09:16:00,25436.69921875,25436.900390625,25410.30078125,25426.75,0
2025-07-04,09:17:00,25426.349609375,25437.75,25423.19921875,25432.150390625,0
2025-07-04,09:18:00,25431.349609375,25440.900390625,25415.19921875,25420.55078125,0
2025-07-04,09:19:00,25421.44921875,25423.80078125,25407.349609375,25412.650390625,0
2025-07-04,09:20:00,25411.94921875,25416.94921875,25406.400390625,25415.80078125,0
2025-07-04,09:21:00,25416.44921875,25428.349609375,25415.30078125,25419.75,0
2025-07-04,09:22:00,25421.0,25422.900390625,25413.19921875,25413.19921875,0
2025-07-04,09:23:00,25413.900390625,25414.599609375,25393.94921875,25403.05078125,0
2025-07-04,09:24:00,25403.80078125,25414.599609375,25403.80078125,25414.599609375,0
2025-07-04,09:25:00,25415.0,25432.94921875,25414.349609375,25432.5,0
2025-07-04,09:26:00,25433.0,25438.69921875,25430.900390625,25438.650390625,0
2025-07-04,09:27:00,25438.19921875,25442.94921875,25436.0,25436.150390625,0
2025-07-04,09:28:00,25436.150390625,25436.150390625,25423.94921875,25426.55078125,0
2025-07-04,09:29:00,25427.150390625,25431.599609375,25423.400390625,25424.900390625,0
2025-07-04,09:30:00,25424.55078125,25429.5,25414.19921875,25415.349609375,0
2025-07-04,09:31:00,25414.150390625,25416.900390625,25410.94921875,25414.05078125,0
2025-07-04,09:32:00,25414.25,25416.349609375,25412.55078125,25413.599609375,0
2025-07-04,09:33:00,25410.849609375,25410.849609375,25401.099609375,25407.349609375,0
2025-07-04,09:34:00,25407.650390625,25409.150390625,25404.19921875,25406.75,0
2025-07-04,09:35:00,25406.150390625,25407.30078125,25396.349609375,25400.900390625,0
2025-07-04,09:36:00,25401.05078125,25401.25,25386.94921875,25386.94921875,0
2025-07-04,09:37:00,25386.44921875,25396.349609375,25386.150390625,25396.349609375,0
2025-07-04,09:38:00,25396.25,25398.80078125,25391.849609375,25391.849609375,0
2025-07-04,09:39:00,25390.900390625,25390.900390625,25382.599609375,25384.30078125,0
2025-07-04,09:40:00,25383.650390625,25383.650390625,25370.55078125,25380.19921875,0
2025-07-04,09:41:00,25379.69921875,25389.19921875,25378.0,25388.5,0
2025-07-04,09:42:00,25387.650390625,25388.55078125,25382.0,25383.94921875,0
2025-07-04,09:43:00,25385.19921875,25386.349609375,25379.05078125,25384.30078125,0
2025-07-04,09:44:00,25384.650390625,25395.400390625,25384.55078125,25394.400390625,0
2025-07-04,09:45:00,25393.80078125,25397.94921875,25390.19921875,25395.94921875,0
2025-07-04,09:46:00,25396.349609375,25399.599609375,25394.150390625,25399.30078125,0
2025-07-04,09:47:00,25399.75,25402.25,25396.900390625,25400.80078125,0
2025-07-04,09:48:00,25400.80078125,25402.19921875,25398.94921875,25399.69921875,0
2025-07-04,09:49:00,25400.400390625,25403.25,25393.55078125,25395.150390625,0
2025-07-04,09:50:00,25395.55078125,25395.80078125,25389.19921875,25389.75,0
2025-07-04,09:51:00,25390.0,25396.400390625,25387.30078125,25396.400390625,0
2025-07-04,09:52:00,25396.650390625,25401.80078125,25396.650390625,25401.05078125,0
2025-07-04,09:53:00,25401.599609375,25411.25,25399.19921875,25408.5,0
2025-07-04,09:54:00,25408.5,25410.349609375,25404.44921875,25407.44921875,0
2025-07-04,09:55:00,25408.19921875,25408.69921875,25395.69921875,25397.19921875,0
2025-07-04,09:56:00,25395.900390625,25400.099609375,25394.900390625,25398.05078125,0
2025-07-04,09:57:00,25398.099609375,25402.25,25396.30078125,25401.69921875,0
2025-07-04,09:58:00,25401.25,25406.0,25400.599609375,25404.650390625,0
2025-07-04,09:59:00,25404.55078125,25414.400390625,25404.05078125,25414.0,0
2025-07-04,10:00:00,25414.05078125,25423.55078125,25414.05078125,25421.650390625,0
2025-07-04,10:01:00,25420.849609375,25421.599609375,25409.150390625,25410.05078125,0
2025-07-04,10:02:00,25410.150390625,25411.19921875,25403.80078125,25408.55078125,0
